Tweet Datetime,text,location
2021-10-02 23:57:29,@panca66 @PDemokrat @Dennysiregar7 PPKM= Pengen Presiden Koq Mayor,
2021-10-02 23:56:46,"RT @afrilrini: Pasangan favoritku gini terus ya jangan PPKM lagi😭😭
#IkatanCinta 
#IkatanCintaEp457 https://t.co/6QUxgikbOH",sergai medan
2021-10-02 23:55:26,@Hana_restu20 Kak han kontrak ku di putus krna ppkm berhazil 😭,Yogyakarta 
2021-10-02 23:53:19,@Danuuuaja @radenrauf Lagi PPKM harus jaga jarak,Indonesia
2021-10-02 23:52:02,"Astungkara semua daerah zona kuning, jangan lengah tetap disiplin Prokes agar penyebaran Covid-19 tidak meningkat kembali dan ekonomi bisa tumbuh. #ppkm #covi̇d19 #prokes #BersatuLawanCorona #polrestabanan https://t.co/JTys9R20F8",
2021-10-02 23:51:52,"Apa persyaratan suatu wilayah sudah boleh dilonggarkan ke PPKM Level 1? Harus dg persyaratan ketat dan teruji, apakah sistem surveilans berjalan, Tes-Lacak-Isolasi sdh sesuai dg standard, vaksinasi sdh &gt;80% termasuk Lansia, perilaku penduduk 3M  &gt;80%. Kalau BELUM, jangan Level 1. https://t.co/1We2mhRQXo",Indonesia
2021-10-02 23:51:39,"@frmnaqil yess! seingetku dulu pernah gini tp yg buka cuma drivethru, balik jam 9 lg karna ppkm😭",
2021-10-02 23:50:05,"once upon a time di lift yg penuh dan hening :
PT : “diana gendutan ya skrng, efek ppkm naik 10kg ya?”
*semua mata tertuju padaku*
hm giliran ngobrol ber2 aja ga komen apa2, pas didepan org banyak lgsng komenin berat badan, sengaja bgt kan bikin malunya teh🤢🤮",777
2021-10-02 23:49:49,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",kalo dah capek kerja bilang ya
2021-10-02 23:45:19,PPKM Level 3 Bali Beri Harapan bagi Karyawan Krisna Oleh-oleh Bali yang Dirumahkan https://t.co/WsozIS9yul,Indonesia
2021-10-02 23:41:45,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",
2021-10-02 23:39:49,"Astungkara semua daerah zona kuning, jangan lengah tetap disiplin Prokes agar penyebaran Covid-19 tidak meningkat kembali dan ekonomi bisa tumbuh. #ppkm #covi̇d19 #prokes #BersatuLawanCorona #polrestabanan https://t.co/5zDDIYDyEI",
2021-10-02 23:39:34,"Kepri PPKM Level 2, Gubernur Tiadakan Test Antigen https://t.co/005BThqOa5","Batam, Indonesia"
2021-10-02 23:39:12,"RT @KangSemproel: Happy Satnite on the PPKM Lepel 3..
Saat sholat masih menjaga jarak
Saat shalat Ied (pernah) ditiadakan
Saat kumpul2 acar…",In my room
